graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.1,30,0.1,0.18683815002441406,0.06540560722351074,0.19438672065734863,1.0196614265441895,4.083054304122925,0.010808432009071112
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,3.140385150909424,3.470900058746338,7.75554895401001,20.9012234210968,0.21803703298792243
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,3.314587116241455,3.371279001235962,11.780826330184937,55.061293840408325,0.12346914503723383
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,1.3532915115356445,1.9985134601593018,3.637267827987671,10.656392335891724,0.1025712639093399
Yeast,real,2375,11693,0.1,238,0.1,12.704852819442749,1.3885092735290527,1.9476304054260254,6.744500637054443,16.495906114578247,0.08508676616474986
bitcoin-alpha,real,3783,14124,0.1,379,0.1,33.27059459686279,2.722041606903076,3.09700345993042,11.582980394363403,24.64942955970764,0.17713957000523806
ca-GrQc,real,4158,13428,0.1,416,0.1,37.053438901901245,2.853600025177002,3.154381275177002,5.636567115783691,11.147591352462769,0.17031786125153303
cora,real,2485,5069,0.1,249,0.1,11.119002103805542,1.0740602016448975,1.4367828369140625,6.2463250160217285,20.67468810081482,0.058932664804160595
p2p-Gnutella06,real,8717,31525,0.1,872,0.1,207.0140872001648,10.99595022201538,8.981687545776367,11.739341020584106,22.300112009048462,1.1101594381034374
wiki-Vote,real,7066,100736,0.1,707,0.1,210.69299721717834,15.092329025268555,13.510537385940552,19.164976358413696,61.100239515304565,2.8797161341644824
BA1000,synthetic,1000,4975,0.1,100,0.1,1.9442317485809326,0.38105225563049316,0.6472833156585693,1.482189655303955,4.072873115539551,0.31987082259729505
BA10000,synthetic,10000,49975,0.1,1000,0.1,280.25996947288513,16.268479108810425,12.363583087921143,21.87263035774231,52.598374366760254,2.06066168891266
BA2000,synthetic,2000,9975,0.1,200,0.1,8.48478627204895,1.0110135078430176,1.5147664546966553,3.5000593662261963,10.518715620040894,0.06791252736002207
BA3000,synthetic,3000,14975,0.1,300,0.1,21.26638102531433,2.071486711502075,2.6399645805358887,4.7580649852752686,12.782141923904419,0.15097791980952024
BA5000,synthetic,5000,24975,0.1,500,0.1,64.8532485961914,4.9419591426849365,4.92857551574707,9.334818840026855,23.027747869491577,0.4596472689881921
ER1000,synthetic,1000,5000,0.1,100,0.1,2.047384738922119,0.34677672386169434,0.6979565620422363,0.9256086349487305,1.4535768032073975,0.021108245942741632
ER2000,synthetic,1999,10000,0.1,200,0.1,8.666836977005005,1.0648870468139648,1.5289726257324219,1.9400618076324463,2.1769309043884277,0.058475879952311516
ER3000,synthetic,2999,15000,0.1,300,0.1,21.35254144668579,2.0284595489501953,2.6135106086730957,3.004204750061035,3.4919815063476562,0.14568309672176838
ER5000,synthetic,5000,25000,0.1,500,0.1,63.682961225509644,4.915405988693237,4.917285203933716,5.32808518409729,6.181464433670044,0.4482768247835338
WS1000,synthetic,1000,5000,0.1,100,0.1,1.9176967144012451,0.37682175636291504,0.6514873504638672,1.2789332866668701,2.425601005554199,0.021007569041103125
WS2000,synthetic,2000,10000,0.1,200,0.1,8.107047080993652,1.0240929126739502,1.4940860271453857,2.3556106090545654,3.5548596382141113,0.052366991993039846
WS3000,synthetic,3000,15000,0.1,300,0.1,19.933377981185913,1.9813497066497803,2.570192575454712,3.4038350582122803,4.313431978225708,0.13595302496105433
WS5000,synthetic,5000,25000,0.1,500,0.1,59.15419960021973,4.635754346847534,4.640767335891724,5.868055582046509,7.662747859954834,0.41954565374180675
