graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,RK,GPU_SIR_BRIDGE,0.5609704566573341
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,EXACT,0.8364537288714513
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,BP,0.6831457866887759
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,RK,0.6886731638421515
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,ABRA,1.0
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,SILVAN,0.8101308198899664
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,ABRA,GPU_SIR_BRIDGE,0.6474138007179691
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,EXACT,0.8815233230572537
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,BP,0.7258445187079042
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,RK,0.7337795095792349
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,ABRA,0.8101308198899663
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,SILVAN,1.0
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,SILVAN,GPU_SIR_BRIDGE,0.665908841396697
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,EXACT,0.7803362433581147
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,BP,0.5393770298860756
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,RK,0.5609704566573341
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,ABRA,0.6474138007179691
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,SILVAN,0.6659088413966971
Fb-tvshow,real,3892,17262,0.1,390,0.1,37.199697732925415,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,EXACT,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,BP,0.6509319375049445
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,RK,0.6558821972816962
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,ABRA,0.769497298842158
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,SILVAN,0.9672272592126169
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,EXACT,GPU_SIR_BRIDGE,0.7691586213010487
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,EXACT,0.6509319375049445
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,BP,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,RK,0.5786532653411126
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,ABRA,0.5948470018448886
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,SILVAN,0.6560745499372951
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,BP,GPU_SIR_BRIDGE,0.5171917950296236
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,EXACT,0.6558821972816962
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,BP,0.5786532653411127
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,RK,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,ABRA,0.6019708582103191
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,SILVAN,0.6575527770815481
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,RK,GPU_SIR_BRIDGE,0.5103999462445037
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,EXACT,0.769497298842158
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,BP,0.5948470018448886
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,RK,0.6019708582103193
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,ABRA,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,SILVAN,0.7660594089829454
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,ABRA,GPU_SIR_BRIDGE,0.5976162438378367
