graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,EXACT,0.7812242462269502
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,BP,0.6276322989351903
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,RK,0.5282031426844038
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,ABRA,0.6483596296499209
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,SILVAN,1.0
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,SILVAN,GPU_SIR_BRIDGE,0.5942926573760627
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,EXACT,0.7803362433581147
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,BP,0.4790268059842991
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,RK,0.3942461379507413
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,ABRA,0.5786329385308627
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,SILVAN,0.5942926573760627
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,EXACT,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,BP,0.5402752839803675
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,RK,0.4697804845685566
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,ABRA,0.6672764620406596
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,SILVAN,0.8464345673674387
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,EXACT,GPU_SIR_BRIDGE,0.7691587868160173
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,EXACT,0.5402752839803675
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,BP,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,RK,0.5350145910247368
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,ABRA,0.5605192008978204
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,SILVAN,0.5436847682220942
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,BP,GPU_SIR_BRIDGE,0.4197017421863893
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,EXACT,0.46978048456855653
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,BP,0.5350145910247368
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,RK,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,ABRA,0.5019320011164423
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,SILVAN,0.49039913206571634
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,RK,GPU_SIR_BRIDGE,0.3701129806548629
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,EXACT,0.6672764620406597
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,BP,0.5605192008978204
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,RK,0.5019320011164423
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,ABRA,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,SILVAN,0.6451001260590271
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,ABRA,GPU_SIR_BRIDGE,0.5202464181722091
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,EXACT,0.8464345673674387
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,BP,0.5436847682220942
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,RK,0.49039913206571634
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,ABRA,0.6451001260590271
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,SILVAN,1.0
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,SILVAN,GPU_SIR_BRIDGE,0.6429005828384454
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,EXACT,0.7691587868160175
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,BP,0.4197017421863892
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,RK,0.3701129806548629
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,ABRA,0.5202464181722092
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,SILVAN,0.6429005828384455
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
