graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,BP,RK,ABRA,SILVAN,GPU_SIR_BRIDGE
Celegans,real,297,2148,0.2,30,0.1,0.18795347213745117,0.032617807388305664,0.04915738105773926,0.300889253616333,1.0672993659973145,0.3358308491297066
Fb-tvshow,real,3892,17262,0.2,390,0.1,199.50141406059265,9.916932344436646,6.831199645996094,13.151800870895386,42.71787619590759,0.21340087801218033
Router,real,5022,6258,0.2,503,0.1,163.62896919250488,4.877050876617432,2.8490688800811768,20.966405868530273,50.86337971687317,0.11433078488335013
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,0.7313232421875,0.47577714920043945,1.2661359310150146,3.525794506072998,0.3821317059919238
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,0.6844465732574463,0.4920659065246582,2.1716978549957275,4.31105899810791,0.07372289523482323
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,2.7731387615203857,1.5964267253875732,7.355896711349487,16.049373388290405,0.16276153502985835
ca-GrQc,real,4158,13428,0.2,416,0.1,193.59918642044067,7.742426872253418,4.0511980056762695,8.789292097091675,22.859896898269653,0.15987089788541198
cora,real,2485,5069,0.2,249,0.1,46.030649185180664,3.8462672233581543,2.5149714946746826,13.204294919967651,34.0203492641449,0.04987009521573782
p2p-Gnutella06,real,8717,31525,0.2,872,0.1,207.12059450149536,5.703247547149658,2.318039655685425,3.781782865524292,5.541704416275024,1.096829819958657
wiki-Vote,real,7066,100736,0.2,707,0.1,1152.847342967987,46.12127423286438,21.49218201637268,29.696062088012695,87.00951266288757,2.8634971459396183
BA1000,synthetic,1000,4975,0.2,100,0.1,17.068702936172485,2.354799509048462,1.5502140522003174,4.277940511703491,15.132434368133545,0.02065025083720684
BA10000,synthetic,10000,49975,0.2,1000,0.1,3417.6272904872894,94.6767783164978,41.26317524909973,39.61393713951111,225.6529631614685,2.0431785727851093
BA2000,synthetic,2000,9975,0.2,200,0.1,97.6166467666626,6.28117561340332,5.813960075378418,14.511563777923584,43.49588394165039,0.05472153099253774
BA3000,synthetic,3000,14975,0.2,300,0.1,254.01218271255493,12.046887397766113,8.09338092803955,21.223310232162476,44.13470506668091,0.13464590581133962
BA5000,synthetic,5000,24975,0.2,500,0.1,763.7383577823639,23.984622716903687,12.884535551071167,30.99019145965576,91.69840407371521,0.4428237685933709
ER1000,synthetic,1000,5000,0.2,100,0.1,16.362600088119507,1.745952844619751,0.6608307361602783,4.0900983810424805,5.066166400909424,0.020415232051163912
ER2000,synthetic,1999,10000,0.2,200,0.1,83.15254998207092,5.6488425731658936,4.913994073867798,8.69413447380066,6.306377410888672,0.05422379495576024
ER3000,synthetic,2999,15000,0.2,300,0.1,258.42664313316345,14.262454748153687,8.33386492729187,15.694709062576294,16.914782285690308,0.13300125999376178
ER5000,synthetic,5000,25000,0.2,500,0.1,737.0748660564423,22.20283341407776,15.465028047561646,13.793230772018433,32.02049732208252,0.434422267600894
WS1000,synthetic,1000,5000,0.2,100,0.1,26.99643588066101,2.938422679901123,2.640294075012207,4.972077369689941,11.351805925369263,0.02029616804793477
WS2000,synthetic,2000,10000,0.2,200,0.1,100.51280331611633,4.7500176429748535,4.184071779251099,6.696682691574097,11.077565908432007,0.04918673820793629
WS3000,synthetic,3000,15000,0.2,300,0.1,266.2185254096985,8.92090129852295,4.235480070114136,15.05280327796936,23.599875450134277,0.1233563949353993
WS5000,synthetic,5000,25000,0.2,500,0.1,839.2279541492462,30.59547734260559,16.523319721221924,23.7359676361084,35.18335819244385,0.4094994142651558
